Username,Date,Favorites,Retweets,Hashtags,Text
DollarVigilante,2016-06-25 23:59:59+00:00,18,10,"['#Brexit', '#Investing']",You Could Have Prospered Greatly from the #Brexit Sign up--> http:// buff.ly/1TFC7sO #Investing pic.twitter.com/YSutcxVelk
747Gold,2016-06-25 23:59:58+00:00,0,0,['#Brexit'],I liked a @YouTube video from @lack78 http:// youtu.be/mTPJsUGHrUo?a #Brexit at Last: UK To Leave EU!!
ARMAKdeODELOT,2016-06-25 23:59:58+00:00,2,0,['#Brexit'],Desmontando la Historia Oficial del Brexit + 10 incógnitas que hay que resolver tras el #Brexit http:// centrodeperiodicos.blogspot.com/2016/06/desmon tando-la-historia-oficial-del.html …
drwilcox,2016-06-25 23:59:57+00:00,1,0,['#Brexit'],Pretty apt #Brexit analogy: pic.twitter.com/XMMBClMcIV
veryFatcat,2016-06-25 23:59:57+00:00,1,1,['#Brexit'],"Don't forget that the #Brexit is just a vote, the Queen can call it off through the Parliament."
serenacwy,2016-06-25 23:59:55+00:00,0,0,"['#EUref', '#Brexit', '#regexit']",. @timminchin tweets are spot on #EUref #Brexit #regexit
4589roger,2016-06-25 23:59:54+00:00,1,1,"['#Boris', '#Gove', '#Brexit', '#EU']",There are liars and then there’s #Boris Johnson and Michael #Gove | Nick Cohen http:// gu.com/p/4myct/stw Leave has NO plan #Brexit #EU
mitchr777,2016-06-25 23:59:53+00:00,0,0,"['#Brexit', '#isis', '#WriteAPoemAboutBrexit']",Roses are red as is blood we vote #Brexit #isis is done! #WriteAPoemAboutBrexit
Eduflack,2016-06-25 23:59:51+00:00,3,21,['#Brexit'],"In recognition of #Brexit , my redeye flight movies tonight will be 300 and Braveheart."
GoldEagleCom,2016-06-25 23:59:51+00:00,3,3,"['#Gold', '#Silver', '#brexit']",#Gold And #Silver Prices This Week #brexit http:// ow.ly/swgW301DwCx pic.twitter.com/qob6AAM82A
SilverPhoenix50,2016-06-25 23:59:50+00:00,1,0,"['#Gold', '#Silver', '#brexit']",#Gold And #Silver Prices This Week #brexit http:// ow.ly/swgW301DwCx pic.twitter.com/shAL4vcmk7
21yssus21,2016-06-25 23:59:50+00:00,0,0,"['#BrexitVote', '#Brexit']",""" @PressTV :Brexit could break up EU, prevent WWIII: Paul Craig Roberts http:// ptv.io/2B6Z #BrexitVote pic.twitter.com/rpkMaG7Zx7 "" #Brexit"
MrsGrenshaw,2016-06-25 23:59:49+00:00,0,0,['#brexit'],"#brexit Love the conspiracy nutters. All day to google things, play on Facebooker and still no time to actually vote!"
ericschupper,2016-06-25 23:59:48+00:00,0,0,['#Brexit'],"Tony Blair's #Brexit analysis. Good, except, ""the people - usually a repository of common sense and practicality"" http:// nyti.ms/28XsPds"
EstorvoMaldito,2016-06-25 23:59:48+00:00,1,0,['#Brexit'],"Como podemos ver, o Palmeiras não reagiu bem ao #Brexit se concretizando"
juanboscato,2016-06-25 23:59:48+00:00,0,0,['#Brexit'],you kelpers are... #Brexit
MissDizzySpell,2016-06-25 23:59:46+00:00,1,0,['#Brexit'],"Still, it's left me feeling rubbish. Seenmany abusive ppl attacking each other today. it's no longer about #Brexit just how shit ppl can be."
TerriPaddock,2016-06-25 23:59:45+00:00,10,7,"['#EURefResults', '#EURef', '#Brexit']",Any irony that Mail is reporting this 'shocking post-referendum racism'? #EURefResults #EURef #Brexit http://www. dailymail.co.uk/news/article-3 659842/No-Polish-vermin-Police-investigating-laminated-cards-reading-leave-EU-home-scum-posted-doors.html …
trackerem,2016-06-25 23:59:45+00:00,0,0,"['#Trump', '#Brexit']",don't normally rt anything from this media cause of truth issues but this happened! #Trump #Brexit https:// twitter.com/nytimes/status /746219828596269057 …
IntropaJacques,2016-06-25 23:59:45+00:00,0,1,"['#Brexit', '#Hollande', '#Hollandexit']","Après #Brexit .. François #Hollande fait son cinéma, un voyage entre ""Terriens"" #Hollandexit ! http://www. lemonde.fr/referendum-sur -le-brexit/article/2016/06/25/le-marathon-post-brexit-du-president-hollande_4958047_4872498.html …"
Charnoski,2016-06-25 23:59:42+00:00,0,0,"['#brexit', '#Article50b']","I expect to see the rise of the ""We've Made A Terrible Mistake"" party any day now. #brexit #Article50b"
david4soler,2016-06-25 23:59:42+00:00,3,0,['#Brexit'],Algunos jovenes británicos se enteraron del #Brexit volviendo de fiesta. Imperdible. Way to go @annasturzaker https:// twitter.com/chardecar/stat us/746336231466872833 …
BoiiBillz99,2016-06-25 23:59:42+00:00,1,0,['#Brexit'],@GiselaStuart @andrealeadsom You have done an amazing job on Britain leaving the EU. A big thank you. And amazing speeches too #Brexit
Jkhunofficial,2016-06-25 23:59:40+00:00,0,0,['#brexit'],"Stacy Herbert on RT channel says""elite see populations as disposal these days but they have a problem as the population have a vote"" #brexit"
KyloRen_Hux,2016-06-25 23:59:39+00:00,1,0,['#Brexit'],I agree. This wouldn't happen if it were a general election vote. Bite the bullet I say and deal with it #Brexit
WCullmac,2016-06-25 23:59:39+00:00,1,0,"['#Brexit', '#really']",You know when you've had a shit week and you think it can't get any worse. This ..... #Brexit #really ??? http://www. theguardian.com/politics/2014/ jan/24/nigel-farage-uk-gun-control-laws-relaxed?utm_content=buffer1d951&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer …
christophil,2016-06-25 23:59:36+00:00,0,0,"['#Trump', '#Brexit']",Stop Underestimating Donald #Trump . #Brexit Vote Shows Why He Can Win. - Fox Nation http:// flip.it/5dy8U
WorldTweetNews,2016-06-25 23:59:35+00:00,0,0,['#Brexit'],"Chk trnders http:// ift.tt/1SjSf2J TwitterIN - Trends: Check http:// theindiansubcontinent.com "" #Brexit "" at: https:// twitter.com/search?q=%23Br exit … …"
WorldTweetNews,2016-06-25 23:59:35+00:00,0,0,['#Brexit'],"Chk trnders http:// ift.tt/1SjSf2J TwitterIN - Trends: "" #Brexit "" is trending in India at rank 7."
MichealFitzG,2016-06-25 23:59:33+00:00,0,0,"['#Brexit', '#F1']",@autosport @BenAndersonAuto @tedkravitz @Jamesallenonf1 @CroftyF1 @MBrundleF1 @CarHack How will #Brexit affect UK Motorsport Industry & #F1 ?
Nuuklanna,2016-06-25 23:59:33+00:00,0,0,"['#Brexit', '#cantbelieveitdontbelieveitwontbelieveit']",Heureusemt j'étais passée chez Mark and Spencers pr acheter du thé #Brexit #cantbelieveitdontbelieveitwontbelieveit https:// twitter.com/ONPCofficiel/s tatus/746836312787943424 …
pablova_1607,2016-06-25 23:59:31+00:00,0,0,['#Brexit'],#Brexit Cameron gatoooo!!!! pic.twitter.com/Xs8gppmFbk
bondi_izzy,2016-06-25 23:59:29+00:00,0,0,"['#LNP', '#SSM', '#Brexit', '#Turnbull', '#gaymarriage', '#LNP', '#ausvotes']",The #LNP #SSM plebiscite is clearly a mad idea after the #Brexit fallout. #Turnbull #gaymarriage #LNP #ausvotes https:// twitter.com/pepeMcGee/stat us/746847662134067200 …
dsparker001,2016-06-25 23:59:25+00:00,0,0,"['#Brexit', '#tcot', '#TeaParty', '#p2', '#uniteblue']",@BarackObama Bad Week Just Got Worse: #Brexit A HUGE Slapdown Of Barack The Bully http:// ow.ly/hlpa301DwGd #tcot #TeaParty #p2 #uniteblue
WebTaniwha,2016-06-25 23:59:25+00:00,0,0,"['#Brexit', '#safetravels']",at least you'll be able to shop more with the cheaper pound!! Look forward to fab travel photos #Brexit #safetravels
ezebisso,2016-06-25 23:59:25+00:00,0,0,"['#Brexit', '#Alemania', '#Francia']","@Lubertino opinando sobre el #Brexit y sobre los pueblos de #Alemania y #Francia , que podes opinar? Son la 4ta y 6ta economía del mundo."
WeymiensN,2016-06-25 23:59:23+00:00,0,0,['#Brexit'],Lijkt me niet onze schuld. Wij hebben die #Brexit niet gekozen. Blijkt dat de Leavers ook niet echt happig zijn nu. @jdceulaer
JRTomlinAuthor,2016-06-25 23:59:22+00:00,0,0,['#brexit'],Nicola Sturgeon to lobby EU members to support Scotland's remain bid http:// gu.com/p/4myc3/stw #brexit
chowjackie,2016-06-25 23:59:21+00:00,0,0,"['#Google', '#脫歐', '#歐盟', '#uk', '#Brexit', '#search', '#vote', '#toolate']",#Google 發現英國 #脫歐 公投後，多人搜尋「什麼是 #歐盟 ？」 http:// flip.it/lEJXq #uk #Brexit #search #vote #toolate
facuescamoso,2016-06-25 23:59:21+00:00,2,1,['#Brexit'],#Brexit : Los pasos a seguir para que UK abandone la Unión Europea: pic.twitter.com/hUnj0S1tee
TheRagingCelt,2016-06-25 23:59:21+00:00,0,0,['#Brexit'],"Somewhere, Elvis Costello is furiously re-writing “Tramp the Dirt Down”. #Brexit"
Starseed52,2016-06-25 23:59:19+00:00,2,3,['#Brexit'],"30-""Tara: Boris Johnson, former mayor of London, extreme right wing looks like Trump only his hair is real."" #Brexit pic.twitter.com/0MGMkAospx"
Mdee107,2016-06-25 23:59:17+00:00,0,0,"['#Brexit', '#TheCabal', '#khazerianMafia', '#peopleSLEEPERStrust']","So Hitler saved UK for last, now UK 1st to leave. The Nazi project failing?? #Brexit #TheCabal #khazerianMafia #peopleSLEEPERStrust .."
mickeysooner,2016-06-25 23:59:17+00:00,0,0,"['#Brexit', '#GetAClue']","Hilarious watching @BBCWorld doing their best to change the outcome of the #Brexit vote. Too late, globalists. #GetAClue"
jasminchill,2016-06-25 23:59:16+00:00,0,0,"['#Brexit', '#science']",What #Brexit means for UK #science : a view from the coalface https:// theconversation.com/what-brexit-me ans-for-uk-science-a-view-from-the-coalface-61634 … via @ConversationUK
MAGAVoter,2016-06-25 23:59:16+00:00,57,59,"['#Trump2016', '#TrumpTrain', '#MAGA', '#Brexit']",Pathetic Obama Wants Trump to Stop Exposing His Failures http:// truthfeed.com/pathetic-obama -wants-trump-to-stop-exposing-his-failures/9140/ … #Trump2016 #TrumpTrain #MAGA #Brexit
Teesus,2016-06-25 23:59:14+00:00,1,0,"['#Brexit', '#Trump']","Dear America, please note what can happen when an ill informed public votes on a platform based on fear, anger and xenophobia #Brexit #Trump"
gjdonovan,2016-06-25 23:59:14+00:00,0,0,"['#this', '#Brexit', '#Canada', '#GB', '#cdnpoli', '#ROTW']",Whatever comes of your future just please let it not be #this k? #Brexit #Canada stands with #GB #cdnpoli #ROTW pic.twitter.com/5CvzDxYDbF
AnonymooseGuy,2016-06-25 23:59:11+00:00,0,0,"['#brexit', '#TwilightOfTheElites', '#BernieOrBust']",Quite possibly @ggreenwald 's most insightful article (yet). #brexit #TwilightOfTheElites #BernieOrBust http:// interc.pt/28TOgZ5
BenjLukeJ,2016-06-25 23:59:10+00:00,0,0,"['#Brexit', '#IDespair']",Even Mail readers are waking up to #Brexit not being an entirely well thought-through idea... #IDespair https:// twitter.com/peterjukes/sta tus/746755599145312256 …
KamalKemomax,2016-06-25 23:59:09+00:00,0,0,['#Brexit'],موضوع #Brexit زى قرارات كتير فى حياتنا ممكن ناخدها ونفاجأ انها غلط وكارثية مع اننا حاسبينها كويس وكنا فاكرين النتيجة هتبقى العكس
