Username,Date,Favorites,Retweets,Hashtags,Text
aliaswhoever,2017-03-30 23:59:59+00:00,0,0,"['#BBC', '#against', '#Brexit', '#bullshitbafflesbrains']",#BBC urged to stand firm #against accusations of #Brexit bias http:// a.msn.com/01/en-gb/BBz3K 3g?ocid=st … and #bullshitbafflesbrains @aliaswhoever
MrBrandonHee,2017-03-30 23:59:57+00:00,0,0,['#brexit'],Larry doesn't give a fuck about #brexit Larry doesn't care about Theresa May Larry cares about food. Larry cares about sleep and lasers https:// twitter.com/theeconomist/s tatus/847399255476011008 …
agegomez,2017-03-30 23:59:57+00:00,0,0,['#brexit'],Gobierno francés aseguró que negociación del “ #brexit ” será “compleja” http:// bit.ly/2oDRKX0 pic.twitter.com/F0WyvGmJBg
TomJ8899,2017-03-30 23:59:48+00:00,0,0,"['#EUref', '#Leave', '#Brexit']",And that was Tory Manifesto. What's that got to do with #EUref ? UK voted #Leave its time to believe in your Country & get behind #Brexit
WriterWeegs,2017-03-30 23:59:34+00:00,0,0,"['#Passports', '#Brexit', '#Color', '#Blue', '#Maroon', '#WineColor', '#EU']",Interesting. #Passports #Brexit #Color #Blue #Maroon #WineColor #EU http:// ln.is/www.economist. com/no/v7Hs9 …
wiganshale,2017-03-30 23:59:34+00:00,0,0,['#brexit'],"True, except for Germany, who're bothered, because UK is second biggest donor and after #brexit EU will rely totally on German tax payers https:// twitter.com/CMitchellPowel l/status/847592306198937600 …"
hopbin,2017-03-30 23:59:33+00:00,0,0,"['#Trump', '#Brexit']",#Trump and his #Brexit disaster. https://www. ft.com/content/fde761 6a-e6cf-11e6-967b-c88452263daf?segmentId=fa475c88-24c2-1a01-d5ea-b9a82982a943 …
alexielsi,2017-03-30 23:59:00+00:00,0,0,"['#brexit', '#poundtoeuro']","Yen gains as risky assets lose traction, pound and euro shaky... https:// goo.gl/fb/Cns8EU #brexit #poundtoeuro"
BrexitDays,2017-03-30 23:58:04+00:00,1,0,"['#BexitDays', '#Brexit']",#BexitDays How the world sees #Brexit Britain pic.twitter.com/FBtc2il8X8
Sergi0068,2017-03-30 23:57:57+00:00,0,0,['#Brexit'],I have given them already. IN #Brexit WM says it can overrule devolved Nations
tochbeta,2017-03-30 23:57:45+00:00,0,1,"['#gaswinning', '#kutdrake', '#beyonddata', '#Brexit', '#jad17', '#lmvhj', '#beaufort']",#gaswinning #kutdrake #beyonddata #Brexit #jad17 #lmvhj #beaufort Destiny 2 http:// bit.do/TA1
LaszkaOnExile,2017-03-30 23:57:45+00:00,0,0,['#brexit'],"And how wd that b bad for t sensible ppl we are? No, that's great. Shame abt the Lloyds of London, though. And v many other things #brexit"
BrexitDays,2017-03-30 23:57:42+00:00,0,0,"['#BexitDays', '#Brexit']",#BexitDays How the world sees #Brexit Britain pic.twitter.com/QfyFAgYaX4
BrexitDays,2017-03-30 23:57:19+00:00,0,1,"['#BexitDays', '#Brexit']",#BexitDays How the world sees #Brexit Britain pic.twitter.com/IEcTm9b8qw
AlexJM266,2017-03-30 23:57:09+00:00,1,0,['#brexit'],"@GuyVerhofstadt try not to go too hard on us regarding #brexit , given <10 years pop shift will mean most the country will prob b very pro-eu"
BrexitBen,2017-03-30 23:57:07+00:00,0,0,['#brexit'],"That's the great thing about #brexit - businesses already comply with EU rules, so no change there. Internal UK market rule changes ..."
abrogerh,2017-03-30 23:56:56+00:00,0,0,"['#EU', '#Europe', '#Brexit']",I guess heritage #EU #Europe needs a new common language. German or French. hard #Brexit worries - https://www. ft.com/content/b3ed08 8e-13df-11e7-b0c1-37e417ee6c76 … via @FT
johnburrows91,2017-03-30 23:56:17+00:00,0,0,"['#Labour', '#Brexit', '#MSM', '#BBC', '#Mirror']",#Labour 's message re. #Brexit always ignored by #MSM and #BBC . Total shutdown. #Mirror only paper to give air. http://www. mirror.co.uk/news/politics/ theresa-meets-labours-tests-britain-10123986 …
JRMBlakey,2017-03-30 23:56:10+00:00,1,0,['#brexit'],#brexit
HPalafoll,2017-03-30 23:56:04+00:00,0,0,"['#OFERTAS', '#EMPLEO', '#brexit']",#OFERTAS DE #EMPLEO is out! http:// paper.li/HPalafoll/1357 156563?edition_id=e82f3870-1582-11e7-be7c-0cc47a0d1609 … #brexit
Stopper206,2017-03-30 23:55:25+00:00,0,0,['#brexit'],@afneil is really standing out in all this #brexit malarkey
Pasquino2018,2017-03-30 23:55:15+00:00,1,0,"['#BREXIT', '#nbcnews', '#TrumpPence16', '#Forbes', '#Yahoo', '#google', '#England', '#englandvscotland', '#EIRE']",A POINTLESS BANDWAGON FROM EURO 145 BILLIONS PER YEAR #BREXIT #nbcnews #TrumpPence16 #Forbes #Yahoo #google #England #englandvscotland #EIRE pic.twitter.com/oEQflSlsQk
ju0dy,2017-03-30 23:55:12+00:00,0,0,"['#Brexit', '#PoundtoEuro', '#Poundtoeuro', '#Poundtoeuro']","Pound to Euro @1.30, Could Make Significant Break Lower #Brexit #PoundtoEuro #Poundtoeuro #Poundtoeuro http:// dlvr.it/NmJdhP pic.twitter.com/m5vbvzUNWV"
jimranks,2017-03-30 23:55:06+00:00,0,0,"['#Brexit', '#NewYorker']","Theresa May’s vow in her #Brexit speech, to represent “every person” in the U.K... http:// ln.is/ZtH86 by #NewYorker via @c0nvey pic.twitter.com/9aTwHQWFcX"
MiamiDiario,2017-03-30 23:55:05+00:00,0,0,['#Brexit'],Reino Unido activó el #Brexit ¿Qué viene ahora? http:// ow.ly/ttes30amWcK pic.twitter.com/CCML2iBkXL
