Username,Date,Favorites,Retweets,Hashtags,Text
KangarooCaught,2018-11-02 23:34:48+00:00,0,0,"['#MartinRowson', '#DavidCameron']",#MartinRowson on #DavidCameron 's rumoured political return – cartoon https://www. theguardian.com/commentisfree/ picture/2018/nov/02/martin-rowson-david-cameron-return-politics-cartoon?CMP=share_btn_tw …
SwotTyler,2018-11-02 23:08:22+00:00,0,0,['#davidcameron'],one for #davidcameron https://www. youtube.com/watch?v=B64ltG oVMqI …
johnamcgowan,2018-11-02 22:53:31+00:00,0,0,['#davidcameron'],"Seriously David Cameron, stay in your fucking shed and keep writing your book. Much better for the country that way #davidcameron"
MadeleinaKay,2018-11-02 22:53:15+00:00,167,28,['#DavidCameron'],"The more I reflect upon it Given all the fabulous, talented, informed, intelligent, kind, generous, compassionate, inspirational people I have met through 2 years of campaigning The more deeply saddened I am That the likes of #DavidCameron Take centre stage in British politics"
TheHubyster,2018-11-02 22:29:30+00:00,0,0,"['#thelastleg', '#davidcameron']","Fuck it, I'm off #thelastleg #davidcameron"
ElCorbynista,2018-11-02 22:25:50+00:00,1,1,['#DavidCameron'],The saddest thing is that #DavidCameron is still refusing to take a paternity test. There does seem to be a resemblance. pic.twitter.com/iWaHRykIif
markalexander_1,2018-11-02 22:19:20+00:00,0,0,"['#DavidCameron', '#MarinaHyde']","#DavidCameron , get back in your hut. You’ve done enough damage | #MarinaHyde https://www. theguardian.com/commentisfree/ 2018/nov/02/david-cameron-legacy-shepherds-hut?CMP=share_btn_tw …"
shirlsmart,2018-11-02 22:11:08+00:00,4,0,"['#davidcameron', '#ToriesOut', '#Brexit']","NOOOOOOOOO!!!! Just No...thanks. Apparently he's ""bored""......I'm sure there's many things he has not experienced yet that could broaden his mind......training as a nurse for example .. #davidcameron #ToriesOut #Brexit https:// twitter.com/tnewtondunn/st atus/1058120809049477121 …"
ElCorbynista,2018-11-02 22:09:25+00:00,3,0,['#DavidCameron'],BREAKING: David Cameron says goodbye to loved ones & heads back to Westminster set on renewing his political career. #DavidCameron pic.twitter.com/QbwsaIgdBj
sarahofthenorth,2018-11-02 22:03:23+00:00,4,0,"['#davidcameron', '#satire', '#cartoon', '#brexit', '#foreignsecretary']",Here's a little cartoon I did today in light of the butt clenching news that David Cameron wants to come back and play #davidcameron #satire #cartoon #brexit #foreignsecretary pic.twitter.com/5dqgnsbFId
oneoftheplebs,2018-11-02 21:31:34+00:00,0,0,['#DavidCameron'],#DavidCameron https:// twitter.com/oneoftheplebs/ status/1058464946248388610 …
phillip_wardle,2018-11-02 21:31:04+00:00,0,0,"['#shitless', '#DavidCameron']",Like we all were all bored #shitless waiting for #DavidCameron to do something noteworthy for our country. https:// twitter.com/VICEUK/status/ 1058343971091435520 …
johncornelius01,2018-11-02 21:25:00+00:00,2,0,['#DavidCameron'],Didn’t take long for this story to be pulled. Just long enough for #DavidCameron to test the water and find out it was scalding hot. https://www. theguardian.com/politics/2018/ nov/02/david-cameron-does-not-want-political-comeback-say-friends …
wisteela,2018-11-02 21:15:20+00:00,0,0,['#DavidCameron'],David Cameron confident that everyone is over that whole pig f*cking thing - http:// bit.ly/2SCgC1k via @newsthump #DavidCameron
martikaskitchen,2018-11-02 21:11:21+00:00,0,0,['#DavidCameron'],#DavidCameron https://www. joe.co.uk/comment/david- cameron-return-2-206879 …
galainaz,2018-11-02 21:07:23+00:00,0,0,['#DavidCameron'],"#DavidCameron У него что, очередная свинья сдохла? pic.twitter.com/nRPOjna7MR"
SwotTyler,2018-11-02 21:05:44+00:00,0,0,"['#DavidCameron', '#Conservatives']",#DavidCameron #Conservatives - what a shower of drugged up shitehawks! Have All The Good Times Gone https://www. youtube.com/watch?v=EqrwsG rfv7M …
MarkWalder2,2018-11-02 20:55:03+00:00,1,0,"['#davidcameron', '#GeorgeOsborn']",#davidcameron 's new job could be working with #GeorgeOsborn cleaning all the white powder off the toilet seats in the commons! pic.twitter.com/G93D6XhWoJ
SwotTyler,2018-11-02 20:50:39+00:00,0,0,"['#DavidCameron', '#ShepherdsHutTrash']",#DavidCameron White Punks on Dope https://www. youtube.com/watch?v=rs9wua VV33I … #ShepherdsHutTrash
poorh0mme,2018-11-02 20:48:36+00:00,0,0,"['#InstaFashion', '#Vintage', '#FashionBlogger', '#Fashionista', '#StreetStyle', '#MensFashion', '#davidcameron', '#powderedwigs', '#powderedwig', '#brexit', '#stayinyourshed']","Fair thee well, thine twitterers. Adieu. #InstaFashion #Vintage #FashionBlogger #Fashionista #StreetStyle #MensFashion #davidcameron #powderedwigs #powderedwig #brexit #stayinyourshed David Cameron pic.twitter.com/CLT9SVcqN0"
politicaldittys,2018-11-02 20:43:47+00:00,0,0,['#DavidCameron'],Don't even think about it arseface! #DavidCameron pic.twitter.com/VaXDBzZwhy
SwotTyler,2018-11-02 20:39:54+00:00,0,0,['#DavidCameron'],"#DavidCameron - ""They will never forget you till somebody new comes along... https://www. youtube.com/watch?v=zAy49P 8Tjuw …"
michaelnixon70,2018-11-02 20:28:22+00:00,15,4,"['#davidcameron', '#moats']",The black death would make a more welcome return than #davidcameron #moats .
ThatKevin,2018-11-02 20:21:37+00:00,2,0,['#davidcameron'],This. #davidcameron https:// twitter.com/lewisgarland/s tatus/1058324189080420358 …
logansteven,2018-11-02 20:12:45+00:00,0,0,['#DavidCameron'],#DavidCameron pic.twitter.com/vu1s0HG19K
logansteven,2018-11-02 20:01:05+00:00,0,0,['#davidcameron'],#davidcameron https:// twitter.com/haveigotnews/s tatus/1058326065943322624 …
ElCorbynista,2018-11-02 19:38:56+00:00,3,9,"['#DavidCameron', '#ToriesOut']",David Cameron: the Worst PM in British history is back. He's coming back to finish us all off. #DavidCameron #ToriesOut pic.twitter.com/r6CV3erlDr
David_HMFC,2018-11-02 19:35:53+00:00,0,0,"['#DavidCameron', '#AaronBanks']","David Cameron and Arron Banks are two chancers, both alike in dignity, with Banks the Moriarty to Cameron’s Barratt Holmes. #DavidCameron #AaronBanks"
GhostiLeaks,2018-11-02 19:18:47+00:00,0,0,['#DavidCameron'],#DavidCameron may be returning to government.. what do you think?
Paul_Burgin,2018-11-02 18:57:27+00:00,0,0,"['#MarsHillBlog', '#DavidCameron', '#Conservatives', '#Brexit', '#UnitedKingdom']",#MarsHillBlog Post On David Cameron allegedly wanting to return to frontline politics #DavidCameron #Conservatives #Brexit #UnitedKingdom http:// paulburgin.blogspot.com/2018/11/so-doe s-cameron-want-to-return-to.html …
bheardmedia,2018-11-02 18:53:31+00:00,0,0,"['#BrexitShambles', '#PigGate', '#Brexit', '#DavidCameron']",RUMOURS OF DAVID CAMERON RETURNING TO POLITICS DON'T GO DOWN WELL!! #BrexitShambles #PigGate #Brexit #DavidCameron pic.twitter.com/C1Lehmaocy
manuman61,2018-11-02 18:51:22+00:00,0,0,"['#DavidCameron', '#politics', '#pomposity']","Is it a serious possibility that #DavidCameron could return to #politics , or is someone just having a laugh? Not amused, more scared. #pomposity"
mcguinness_d,2018-11-02 18:45:41+00:00,0,0,"['#DavidCameron', '#brexit']",Very glad #DavidCameron has no plans to return to politics. His arrogance and ineptitude looks very likely to have been a significant factor leading to a disastrous #brexit . History will not judge him well... promoted above his ability.
matttviews,2018-11-02 18:44:48+00:00,0,0,"['#DavidCameron', '#boredshitless']",Just in case the country isn’t fucked up quite enough: #DavidCameron #boredshitless
Cartoon4sale,2018-11-02 18:40:08+00:00,53,39,"['#davidcameron', '#gambleresponsibly', '#Brexit']",Bob Moran on #davidcameron making a political comeback #gambleresponsibly #Brexit - political cartoon gallery in London http:// original-political-cartoon.com pic.twitter.com/1ATeQtAYEj
bobscartoons,2018-11-02 18:35:09+00:00,141,72,"['#davidcameron', '#gambleresponsibly', '#Brexit']",. @Telegraph cartoon #davidcameron #gambleresponsibly #Brexit pic.twitter.com/p1iikdpVF6
i_zymurgist,2018-11-02 18:24:09+00:00,0,0,['#davidcameron'],"OK, but that toxic & divisive twat #davidcameron is bored as well, apparently. Don't go giving him any ideas."
