Username,Date,Favorites,Retweets,Hashtags,Text
jonathanfryer,2013-01-24 23:52:14+00:00,0,4,"['#Cameron', '#UK', '#EU']",Shirley Williams is right that #Cameron is on a fool's errand as #UK 's #EU partners are not going to be in mood to renegotiate UK membership
mirnalavado,2013-01-24 23:51:22+00:00,0,0,"['#Francia', '#Alemania', '#Cameron', '#']",#Francia y #Alemania responden a #Cameron que una «Europa a la carta» no es una opción via @abc_es http://www. abc.es/internacional/ 20130123/abci-reacciones-anuncio-referendum-cameron-201301231216.html#.UQHI5PRf6CE.twitter …
AndyP1000,2013-01-24 23:48:38+00:00,0,0,"['#Cameron', '#Merkel', '#EU']",#Cameron is the biggest loser in british politics. #Merkel #EU
Dequinceyschimp,2013-01-24 23:45:43+00:00,0,0,['#Cameron'],@Neilovichi It's not the Tory way. Besides #Cameron is too busy shouting vague nothings about Europe. Pick and mix anyone?!
SamIngro,2013-01-24 23:45:14+00:00,0,0,"['#Cameron', '#Jordan', '#Saints']","Feel bad for #Cameron #Jordan , spent all season toning down to play 4-3 end, finally hits weight, excels...now it's back to 3-4... #Saints"
jonathanfryer,2013-01-24 23:45:10+00:00,0,1,"['#bbctw', '#Cameron', '#EU', '#UKIP']",So who does #bbctw get to comment on #Cameron 's #EU speech? #UKIP convert Neil Hamilton. Pathetic editorial policy.
scarletmonahan,2013-01-24 23:43:44+00:00,0,1,"['#williamhague', '#satire', '#politics', '#cameron', '#osborne']",#williamhague Spawn Drone! http:// yfrog.com/4j7nnfj #satire #politics #cameron #osborne
Ashley_Bullard,2013-01-24 23:42:33+00:00,0,0,"['#bbctw', '#politics', '#UKPolitics', '#Conservatives', '#Labour', '#euReferendum', '#EU', '#Cameron']",Wow the innuendo on #bbctw this evening is very cringeworthy! #politics #UKPolitics #Conservatives #Labour #euReferendum #EU #Cameron
RyoungRory,2013-01-24 23:39:43+00:00,0,0,"['#Cameron', '#davos', '#bbcqt', '#bbcdailypolitics']",#Cameron @#davos : 'Come to Britain we are cutting taxes.' Cutting? Does that mean more cuts for the wealthy? #bbcqt #bbcdailypolitics
scarletmonahan,2013-01-24 23:37:43+00:00,0,0,"['#McDonalds', '#satire', '#THATCHER', '#politics', '#cameron', '#conservative']",George Osborne is truly the leader of a heard headed for #McDonalds http:// youtu.be/lnVidb_vJOM #satire #THATCHER #politics #cameron #conservative
DezA_laThotty,2013-01-24 23:36:51+00:00,1,1,"['#TBT', '#WAYYYBACK', '#Antoin', '#Cameron']",“ @J_Marshall25 : #TBT #WAYYYBACK @MyBallsAndMyWrd @tmarshall90 @UniquelyJazzlyn @courtney838610 #Antoin #Cameron pic.twitter.com/9oCFXXr9 ”
raymondonia,2013-01-24 23:29:52+00:00,0,0,"['#Cameron', '#InOut', '#bbcqt']",Hmmm #Cameron sunk the Navy now UK rely on its Europe neighbours France for ships. #InOut @David_Cameron fool #bbcqt
ovidartea,2013-01-24 23:28:33+00:00,0,0,"['#Cameron', '#UE', '#Europa']","#Cameron juega con fuego con la #UE : si #Europa no acepta los cambios q pide en favor del RU, seguramente el referéndum confirme su salida"
matthiaschapman,2013-01-24 23:23:22+00:00,0,0,"['#Cameron', '#EU']",@function eine politische? Z.B.: #Cameron kündigt #EU fristlos...
nealefoulds,2013-01-24 23:23:12+00:00,0,0,"['#Cameron', '#Davos']","#Cameron ""get in there, shake the debate lead the debate lead the argument for how we get a more competitive, flexible, open Europe"" #Davos"
grahphil,2013-01-24 23:23:10+00:00,0,0,"['#Cameron', '#Osborne', '#Soubry', '#Fabricant', '#Tories']",#Cameron #Osborne #Soubry #Fabricant . #Tories need an Office of Bullshit Responsibility
ElmarLeimgruber,2013-01-24 23:22:50+00:00,0,0,"['#EU', '#Cameron', '#Ungehorsam', '#Welt']","#EU sollte #Cameron dankbar für #Ungehorsam sein, meint die #Welt :... http:// fb.me/1g3ZeyZIL"
RayGerber,2013-01-24 23:17:46+00:00,0,0,"['#cameron', '#thespeech']","Grin > ""@yesnoflow: I would like to see any in-out referendum also have a 'shake it all about' option #cameron #thespeech """
RyoungRory,2013-01-24 23:15:52+00:00,0,1,"['#CAMERON', '#snow', '#labour', '#bbcqt']","#CAMERON : #snow is a very serious problem that we are trying our best to solve, of cause we inherited this problem from #labour govt. #bbcqt"
DonegalDollop,2013-01-24 23:13:13+00:00,0,0,"['#cameron', '#borderpoll']",@ElaineByrne Make our day Elaine ;) http:// wp.me/p2hEFd-45X Northern Border Poll to Coincide with UK EU Referendum #cameron #borderpoll
CapitalMexico,2013-01-24 23:10:24+00:00,0,0,['#Cameron'],"Es un error forzar la unión política de Europa, #Cameron http:// ow.ly/h6Lv5"
alanalmeida90,2013-01-24 23:10:18+00:00,0,0,"['#Cameron', '#lidiapolis', '#obra', '#tecnico']","""Ta vendo aquele predio moço? Ajudei a construir.."" #Cameron #lidiapolis #obra #tecnico http:// instagr.am/p/U4mixLE9U9/"
SamerKasem,2013-01-24 23:08:47+00:00,0,0,"['#coffee', '#G8', '#tax', '#Cameron', '#Starbucks', '#Google']","'Wake up and smell the #coffee ': #G8 MUST tackle #tax evasion, says David #Cameron .... #Starbucks #Google http:// tinyurl.com/avwws5y"
